Part,Component Type,Part Code,Qty,Purpose,Notes
Pi Pico W,Commercial Product,,1,Brains,
1x10 Low Profile Male Header (x2),Through-hole,,2,Mount for Pico W,
USB A Male,Through-hole,CNCTech 1001-011-01101,1,USB stick plug,Offset left/right configs available
USB A Female,Through-hole,GCT USB1046,1,Auth plug (wireless config),
3.18mm->1.78mm Pogo Pin,Through-hole,0926-1-15-20-75-14-11-0,2,Pico testpoint connectors,Target height 2.54mm (header insulator height)
